wavelength,D50,D55,D65,D75
568,0.980415415,0.976330071,0.969361468,0.963681716
569,0.978368813,0.973752438,0.965882552,0.959471418
570,0.977344031,0.972160659,0.963336135,0.956155798
571,0.977232253,0.971443946,0.961613771,0.953632365
572,0.977982595,0.971544298,0.960657438,0.951851663
573,0.979422511,0.972307779,0.960325,0.950667048
574,0.981264421,0.973477823,0.96037957,0.949834115
575,0.983255381,0.974819182,0.960601613,0.949135884
576,0.98539774,0.976330116,0.960988593,0.948573549
577,0.987769548,0.978093677,0.961620448,0.948216252
578,0.98973936,0.979450673,0.961865296,0.947507274
579,0.990388769,0.979437975,0.960799003,0.945635974
580,0.989166731,0.977477704,0.95786709,0.942115969
